Losses,Loans,EQC,Combined
488976580.59778297,408065582.5426809,459069292.71729034,473156370.17163336
3409834268.673578,1832007657.9267354,3341853036.9132605,3277062594.8628473
3465960597.1081166,1860383376.8776894,3396673549.057089,3332031285.515928
326342548.8552266,325799257.4900755,296646912.79115015,325526775.79827285
909753428.5490283,618930141.8676009,877825851.7426516,851591879.9256394
483636779.54553515,405365143.0195384,453735687.73259383,467957313.47032744
537018649.0434583,432600656.28670174,507051460.8407446,519907056.7722022
18984816671.09835,7063837567.860021,16949630676.897835,18011751160.823093
3127718337.0379796,1699673861.9239223,3065483022.0053997,2997054114.40369
726912916.2725366,528090897.45350623,696669092.4016799,681186506.6578039
728574392.2044823,528926216.2261881,698329309.3794739,682246912.6902964
5109220897.957336,2557605415.973453,4966807272.188627,4833866300.869382
503834175.9844086,415621971.1679836,473907744.5142158,487704327.71095616
2651012105.720803,1471662936.4227896,2595187147.955571,2516473139.301302
2123406671.8501577,1215145549.3024497,2074925279.9657142,2001769954.6543322
2177984562.2386274,1242943611.59093,2128667488.4703846,2052512229.3810751
639853957.2830664,484589011.8770777,609751753.572228,606984908.4335654
1775352596.4446774,1044791138.4014673,1732237270.3322122,1685825381.3920782
3578854667.921319,1913657143.6822934,3507377237.0193143,3434865272.985157
388214458.7714502,357104183.3382606,358434318.90448374,366527806.31012225
2394114244.4954963,1346682216.7400584,2341285207.562134,2252622969.3870006
680005785.5876046,504599413.22398543,649835615.5992109,640009464.7634184
828705980.7956009,579152811.4270368,797364483.751104,774801906.6170756
651417924.2828872,490315929.4195756,621293652.9737321,615590240.7096616
4043600323.0612245,2124254690.8771384,3956307870.438839,3847729438.8188896
3881803697.9472938,2053774763.79177,3799846414.541387,3711044718.7520256
3165104048.763635,1717737250.8132956,3101965033.1134305,3033989245.2416215
356012866.2644797,340879503.4106232,326280840.20259017,337301731.41474885
326241130.10136557,325747534.26224923,296545608.48766655,325465428.3710421
6993494877.80386,3275719475.270748,6740613716.969579,6571267760.672849
1162764548.2092695,742619324.1138402,1125304595.7691457,1077904419.6877394
325245036.0745758,325245036.0745758,295550636.07457584,325245036.0745758
4862039227.64377,2453326990.539034,4728526179.569225,4603489653.513765
16447213720.171913,6333174347.039171,14789577512.34123,15648837266.992521
373888510.77972305,349876157.44097126,344126036.36948466,352279131.57504207
3205300793.8750396,1737312907.3554142,3140965758.143474,3073657765.614596
326401415.4078865,325828306.72711456,296705710.67358357,325545571.02430254
603505596.9833493,466217788.0112937,573448166.2899384,573965038.2929504
3272423259.79225,1768659709.3668664,3207230196.6671844,3141347245.9797344
549164740.1171124,438605415.9650106,519178337.8118527,530718106.60821176
755546950.1743919,542276600.9953588,725142734.9609511,706752157.7862958
327366095.49342895,326316048.92121106,297669337.81565356,326742021.6842434
3212391170.080065,1740497113.5401635,3147894333.0492682,3079033905.4504304
709231823.669957,519185945.8643296,679012310.1102508,664423487.7768115
351674326.31107825,338685088.20588744,321948407.97460884,335515589.1332866
2573749739.046364,1433599151.920659,2519356377.2144356,2437995831.8288317
13635913366.877157,5465698577.685989,12403390440.032469,12952925661.802866
840465907.4287685,584605711.1385223,809106826.323496,786747700.1979971
2177501182.1057405,1243149656.7742195,2128184682.9414425,2051880476.3542807
24264547895.213726,8415729011.161322,21092289527.51885,23118175390.454243
325245036.0745758,325245036.0745758,295550636.07457584,325245036.0745758
1089468297.6424122,705787148.7587998,1053432427.4041631,1009476589.9311069
9747892055.208696,4287381952.230329,9247980312.770712,9115039376.960356
327366095.49342895,326316048.92121106,297669337.81565356,326742021.6842434
341900460.2782056,333692762.6706756,312187922.73415524,330281655.53658026
891746347.8153468,610363249.4789423,859957296.0721964,836054172.271613
2071830241.990636,1191522279.6648355,2023949029.0639472,1957083026.8466382
908850583.2625628,618138079.590464,876924036.5095831,850829284.2823796
884309830.9473369,606822288.5743974,852890847.0870411,829003350.2617694
325445392.70772696,325346001.6556574,295750763.8069721,325265071.73789096
2194752805.5098996,1248719877.340151,2145403442.7467372,2068937239.448947
426236478.61696243,376334451.4591549,396406144.8707632,407730203.8004214
326160987.4481051,325707148.0298166,296465557.39470804,325405321.3810967
8371530788.022829,3796910301.9694576,8007677130.8915615,7796837680.912751
1538985377.3798587,928182003.4490556,1497646702.9492376,1455888704.9083076
639852716.845781,484656467.5333205,609750513.1349425,606983667.99628
2145009423.8909814,1224870869.9460683,2096116112.5772293,2022501982.6471107
669360497.6956713,499277431.5102451,639205922.8125161,629570106.2032228
327601081.6681124,326438762.99284995,297904186.6498841,327048493.1268042
1113493142.0771096,717915241.0296819,1076467678.3027952,1030587211.4183984
2256925319.315027,1280809528.4717429,2206141047.0770144,2127148915.858619
2235373499.692239,1268774738.8573327,2185106414.145433,2106497495.0789545
902697314.204477,615308223.5825354,870897567.3175153,845324863.8348224
5643395391.9718485,2767417431.6765695,5477712408.134347,5357995421.937491
6918081698.37096,3242378218.7187853,6670058485.482506,6501707909.9592495
4208945207.874294,2195720296.68145,4114460440.671976,3992365949.165884
500657950.95060843,413988980.4618463,470735725.57275623,484373481.91182953
358633975.8960852,342186564.6115308,328895437.52577996,338644120.8568614
804731766.3897713,566718738.481575,773785180.5998403,753594081.4475135
1488931728.437297,903292515.5756073,1448030817.5984473,1407352527.5360765
329185383.193215,327259701.6358468,299487366.56128764,328236533.75523007
931698698.712024,629556897.1123986,899143422.4192998,870235452.1789097
604889467.6232686,466896984.67457175,574830212.8667247,574924276.593395
325245036.0745758,325245036.0745758,295550636.07457584,325245036.0745758
565039930.9081839,446726729.4614932,535032906.7775263,542527351.5331771
538301858.1027344,433168174.70371,508330698.7329381,521077457.3560167
9135274557.706894,4057604241.8105044,8694066956.045994,8527453777.585385
325525535.3609874,325386387.88809,295830814.8999306,325265071.73789096
5645534131.726056,2766917021.035141,5479829760.491013,5359568829.0300865
4803099464.307422,2434545263.6793237,4672638674.498046,4543526732.517516
1092426080.9449744,707294715.0005815,1056386440.9871758,1012348042.1194357
331057604.6207717,328208003.75462025,301357596.552277,328889547.96698195
2794883295.9370418,1539440955.8811202,2737584761.18685,2669556871.436025
329228422.7662623,327283002.15696806,299530406.1343349,328293919.85262644
426236478.61696243,376334451.4591549,396406144.8707632,407730203.8004214
1605471271.8925643,960398714.7082047,1563311743.2215002,1521333558.6519978
579763645.7705669,454262450.793878,549739776.0860525,556663674.2899398
645863718.015182,487537581.46251,615749527.5697232,611034829.6478224
401429904.0071483,363813240.5433233,371632706.649872,382112703.90249425
325245036.0745758,325245036.0745758,295550636.07457584,325245036.0745758
488975340.16049755,408064342.1053955,459068052.2800049,473155129.73434794
3409831744.460254,1834133801.5714955,3341850537.942069,3277060070.6495233
3465958072.894793,1858553511.1811934,3396671050.0858984,3332028761.3026037
326341308.41794115,325798017.0527901,296645672.35386467,325525535.3609874
909752188.1117429,619222585.0533555,877824611.3053662,851590639.488354
483635539.1082497,405363902.582253,453734447.2953084,467956073.03304195
537017408.6061729,432553618.45373076,507050220.4034592,519905816.3349168
18984756357.915966,7067893262.5228,16949570966.847275,18011690847.640713
3127715812.824656,1699170176.2601354,3065480523.0342093,2997051590.190366
726911675.8352512,528152388.2165344,696667851.9643945,681185266.2205185
728573151.7671969,529010605.68705916,698328068.9421885,682245672.253011
5109218373.744012,2560811227.178703,4966804773.217437,4833863776.656057
